StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_begin,relig_intellect,relig_ideology,relig_intellect,relig_ideology,relig_practice0,relig_q4,relig_q5,relig_q10,relig_q11,relig_q12,relig_experience1,relig_experience2,relig_experience3,relig_experience4,SOM_q1,SOM_q2,SOM_q3,SOM_q4,SOM_q5,SOM_q6,SOM_q7
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Location Latitude,Location Longitude,Distribution Channel,User Language,Would you like to proceed to do the survey?,How often do you think about religious issues?,To what extent do you believe that God or something divine exists?,How interested are you in learning more about religious topics?,"To what extent do you believe in an afterlifee.g. immortality of the soul, resurrection of the dead or reincarnation?",How often do you take part in religious services?,Please answer the following questions. - How often do you pray?,Please answer the following questions. - How often do you meditate?,Please answer the following questions. - How important is it to take part in religious services?,Please answer the following questions. - How important is personal prayer for you?,Please answer the following questions. - How important is meditation for you?,Please answer the following questions. - How often do you experience situations in which you have the feeling that God or something divine intervenes in your life?,Please answer the following questions. - How often do you experience situations in which you have the feeling that God or something divine wants to communicate or to reveal something to you?,Please answer the following questions. - How often do you experience situations in which you have the feeling that you are touched by a divine power?,Please answer the following questions. - How often do you experience situations in which you have the feeling that you are in one with all?,"Next, please answer the following items based on how you feel right now using the scale below. Try to answer each item as accurately as possible based on your response to that item alone, without regard to your answers to any previous items. - I am feeling optimistic about life's challenges.","Next, please answer the following items based on how you feel right now using the scale below. Try to answer each item as accurately as possible based on your response to that item alone, without regard to your answers to any previous items. - Right now, I expect things to work out for the best.","Next, please answer the following items based on how you feel right now using the scale below. Try to answer each item as accurately as possible based on your response to that item alone, without regard to your answers to any previous items. - I am feeling optimistic about my future.","Next, please answer the following items based on how you feel right now using the scale below. Try to answer each item as accurately as possible based on your response to that item alone, without regard to your answers to any previous items. - I feel that something good will happen today (in the next 24 hours).","Next, please answer the following items based on how you feel right now using the scale below. Try to answer each item as accurately as possible based on your response to that item alone, without regard to your answers to any previous items. - The future is looking bright to me.","Next, please answer the following items based on how you feel right now using the scale below. Try to answer each item as accurately as possible based on your response to that item alone, without regard to your answers to any previous items. - At the moment, I expect things to go right than wrong when it comes to my future.","Next, please answer the following items based on how you feel right now using the scale below. Try to answer each item as accurately as possible based on your response to that item alone, without regard to your answers to any previous items. - I am expecting things to turn out well."
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID53""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID13""}","{""ImportId"":""QID55_2""}","{""ImportId"":""QID55_4""}","{""ImportId"":""QID56_1""}","{""ImportId"":""QID56_2""}","{""ImportId"":""QID56_3""}","{""ImportId"":""QID57_1""}","{""ImportId"":""QID57_2""}","{""ImportId"":""QID57_3""}","{""ImportId"":""QID57_6""}","{""ImportId"":""QID26_1""}","{""ImportId"":""QID26_2""}","{""ImportId"":""QID26_3""}","{""ImportId"":""QID26_4""}","{""ImportId"":""QID26_5""}","{""ImportId"":""QID26_6""}","{""ImportId"":""QID26_7""}"
7/22/2024 13:23,7/22/2024 13:24,0,205.175.106.6,100,48,1,7/22/2024 13:24,R_13yHfRExrYdftN3,,47.6631,-122.3029,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,
7/22/2024 13:35,7/22/2024 13:39,0,205.175.106.24,100,199,1,7/22/2024 13:39,R_6MfXLYOm84yJQCo,,47.6631,-122.3029,anonymous,EN,1,,,,,,,,,,,,,,,,,,,,,
7/22/2024 13:39,7/22/2024 13:42,0,205.175.106.24,100,192,1,7/22/2024 13:42,R_6Odkvb8cjEFwBWH,,47.6631,-122.3029,anonymous,EN,2,3,2,5,,,,,,,,,,,,,,,,,,
7/22/2024 14:00,7/22/2024 14:02,1,,100,150,1,7/22/2024 14:02,R_1P6hKbQmP46NeSJ,,47.6631,-122.3029,preview,EN,2,,,,,,,,,,,,,,,,,,,,,
7/22/2024 14:12,7/22/2024 14:16,0,174.196.72.157,100,223,1,7/22/2024 14:16,R_7JKJ6rI12OgKdG8,,39.9544,-75.1657,anonymous,EN,2,5,5,5,5,6,8,4,5,5,4,4,3,2,2,5,5,5,5,5,5,5
7/22/2024 14:46,7/22/2024 14:50,0,179.193.125.247,100,292,1,7/22/2024 14:50,R_7lGN3978qU6b2bX,,-30.0273,-51.2353,anonymous,EN,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,2,4,4,3,4,4,4
7/22/2024 14:44,7/22/2024 14:51,0,96.255.185.39,100,362,1,7/22/2024 14:51,R_5PohppEDXncr63W,,38.9275,-76.7153,anonymous,EN,2,5,5,5,5,6,8,8,5,5,5,5,5,5,5,5,5,5,5,5,5,5
7/22/2024 16:17,7/22/2024 16:28,0,172.56.168.178,100,622,1,7/22/2024 16:28,R_1R9g4geSe0iIAFa,,38.5879,-121.4053,anonymous,EN,2,3,1,4,2,1,1,1,1,1,1,2,1,2,1,4,5,5,4,5,5,5
